world_id,Location,LocationID,Members,Activity,pvp,high_risk,leagues,deadman,skill_total
301,United States (east),1,False,Trade - Free,False,False,False,False,
302,United Kingdom,2,True,Trade - Members,False,False,False,False,
303,Germany,3,True,,False,False,False,False,
304,Germany,3,True,Trouble Brewing,False,False,False,False,
305,United States (east),1,True,Falador Party Room,False,False,False,False,
306,United States (west),4,True,Barbarian Assault,False,False,False,False,
307,United States (west),4,True,Wintertodt,False,False,False,False,
308,United Kingdom,2,False,Wilderness PK - Free,False,False,False,False,
309,United Kingdom,2,True,Wintertodt,False,False,False,False,
310,United Kingdom,2,True,Barbarian Assault,False,False,False,False,
311,Germany,3,True,Wintertodt,False,False,False,False,
312,Germany,3,True,,False,False,False,False,
313,United States (west),4,True,,False,False,False,False,
314,United States (east),1,True,Brimhaven Agility Arena,False,False,False,False,
315,United States (west),4,True,,False,False,False,False,
316,United Kingdom,2,False,Wilderness PK -Free,False,False,False,False,
317,United Kingdom,2,True,LMS Competitive,False,False,False,False,
318,United Kingdom,2,True,,False,False,False,False,
319,United States (west),4,True,,False,False,False,False,
320,United States (west),4,True,,False,False,False,False,
321,United States (east),1,True,Sulliuscep cutting,False,False,False,False,
322,United States (east),1,True,,False,False,False,False,
323,United States (west),4,True,Volcanic Mine,False,False,False,False,
324,United States (west),4,False,PVP World,True,False,False,False,
325,United Kingdom,2,False,PVP World,True,False,False,False,
326,United Kingdom,2,False,LMS Competitive,False,False,False,False,
327,Germany,3,True,Ourania Altar,False,False,False,False,
328,Germany,3,True,,False,False,False,False,
329,United States (east),1,True,,False,False,False,False,
330,United States (east),1,True,"House Party, Gilded Altar",False,False,False,False,
331,United States (west),4,True,,False,False,False,False,
332,United States (west),4,True,,False,False,False,False,
333,United Kingdom,2,True,Last Man Standing,False,False,False,False,
334,United Kingdom,2,True,Castle Wars 1,False,False,False,False,
335,Germany,3,False,,False,False,False,False,
336,Germany,3,True,,False,False,False,False,
337,United States (east),1,False,PVP World,True,False,False,False,
338,United States (west),4,True,,False,False,False,False,
339,United States (west),4,True,,False,False,False,False,
340,United States (west),4,True,,False,False,False,False,
